시도별,품목별,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전국,총지수,67.534,69.908,72.418,74.413,76.081,78.01,81.656,83.906,86.373,89.85,91.815,93.01,94.196,94.861,95.783,97.645,99.086,99.466,100,102.5
전국,농축수산물,53.682,56.856,61.935,63.098,63.025,64.229,64.545,68.704,75.606,82.529,85.137,84.587,82.316,83.947,87.169,91.957,95.328,93.733,100,108.73
전국,(농산물)곡물,72.438,74.091,77.247,74.886,70.374,71.422,76.29,76.103,71.198,80.032,85.107,90.52,87.789,85.351,78.3,75.708,92.281,101.166,100,109.15
전국,쌀,73.228,74.735,76.217,74.191,69.832,71.446,75.168,75.353,68.818,76.467,83.846,88.444,86.885,84.913,76.155,72.025,91.531,99.209,100,109.4
전국,찹쌀,66.228,69.756,95.709,78.724,72.958,72.164,91.876,85.448,94.841,94.272,84.235,90.39,86.504,86.732,82.972,77.484,90.147,104.652,100,107
전국,보리쌀,59.425,60.897,62.411,61.665,61.711,63.098,65.323,65.816,64.773,67.984,82.378,99.556,108.228,104.507,105.427,107.395,111.139,109.306,100,99.76
전국,콩,40.544,43.058,64.846,67.161,61.212,55.684,62.511,62.65,66.825,96.008,89.114,92.156,80.989,76.602,70.25,90.166,104.443,114.33,100,116.67
전국,땅콩,37.968,39.531,52.588,52.281,52.412,58.42,62.532,76.451,73.462,71.987,96.23,94.098,87.206,88.8,89.31,88.016,87.997,94.228,100,105.15
전국,(농산물)채소,47.966,59.768,56.794,55.276,61.812,61.563,58.233,61.876,83.655,81.313,84.575,85.254,70.968,77.944,91.143,90.256,94.907,86.829,100,104.25
전국,배추,46.312,63.327,48.103,49.997,63.733,57.608,44.818,50.942,92.114,75.25,74.735,89.365,50.129,56.674,96.128,78.512,79.994,70.588,100,81.85
전국,상추,43.654,50.377,47.393,53.785,55.945,62.892,48.497,56.945,78.181,64.368,77.424,74.237,63.422,72.802,85.313,87.048,96.018,91.919,100,114.68
전국,시금치,39.322,43.757,43.389,46.479,50.368,52.114,47.745,49.79,82.051,66.066,76.917,78.671,59.429,71.699,92.084,85.206,101.21,89.671,100,116.29
전국,양배추,26.541,45.79,51.597,38.687,40.525,41.705,43.169,41.173,67.566,60.555,66.226,65.756,37.204,48.625,64.897,77.076,79.115,64.585,100,77.03
전국,미나리,32.73,35.667,40.169,39.457,43.81,44.29,46.306,51.471,67.091,65.213,72.998,67.402,68.626,74.686,85.58,86.722,97.036,93.152,100,112.41
전국,깻잎,39.836,41.96,42.936,46.759,55.039,56.796,55.92,58.324,66.262,68.918,74.098,71.751,74.694,74.886,83.293,81.938,92.681,86.715,100,104.5
전국,부추,42.805,65.122,58.796,52.81,60.066,55.74,57.293,60.942,84.528,84.683,82.102,70.07,65.742,75.669,86.374,77.575,82.418,81.31,100,102.31
전국,무,55.168,69.814,65.482,58.779,62.223,62.218,51.78,50.286,99.703,81.8,70.701,67.939,50.341,59.047,87.65,91.905,107.307,80.396,100,78.5
전국,열무,49.168,61.121,67.366,65.807,69.596,74.499,68.006,70.715,112.347,108.537,83.089,74.06,63.359,66.994,84.173,76.396,78.982,86.747,100,102.1
전국,당근,40.153,49.253,49.268,49.948,58.281,49.894,54.293,58.252,65.849,82.358,69.153,104.752,69.477,60.115,73.724,89.621,88.134,81.632,100,75.85
전국,감자,45.382,64.537,77.253,53.94,54.699,63.349,71.001,67.355,83.461,90.869,92.553,74.268,72.968,86.1,83.581,105.264,127.743,96.922,100,105.17
전국,고구마,44.014,48.699,54.578,44.148,51.013,55.3,52.676,54.718,60.164,76.964,85.684,69.192,67.193,74.252,71.284,76.03,94.959,86.431,100,108.4
전국,도라지,52.288,58.384,60.836,61.919,61.914,62.321,63.364,67.248,75.571,86.006,88.896,92.766,93.705,90.094,89.62,90.56,92.44,96.938,100,105.87
전국,콩나물,54.424,57.681,62.67,64.083,65.483,66.225,73.326,73.865,74.822,81.68,83.937,89.092,90.195,90.49,90.95,98.312,99.539,99.955,100,103.98
전국,버섯,88.725,93.599,96.002,97.725,99.907,97.025,101.787,104.93,103.677,107.228,110.83,111.224,115.892,113.868,110.377,107.949,106.083,104.523,100,109.27
전국,오이,43.977,46.869,44.436,50.678,54.825,58.753,53.596,61.291,76.948,73.209,82.199,83.792,77.9,83.853,89.796,87.824,94.045,97.224,100,113.09
전국,풋고추,51.734,51.825,52.134,54.37,67.519,64.28,64.302,68.426,80.789,73.7,87.383,80.543,85.526,82.138,88.556,87.911,87.69,86.326,100,99.47
전국,호박,64.582,71.758,66.143,69.275,69.951,77.675,67.047,72.173,91.659,86.992,86.084,80.424,77.266,77.629,85.703,81.69,93.796,79.903,100,103.76
전국,가지,51.625,59.891,60.211,59.058,62.497,67.413,65.499,65.229,83.492,93.897,92.944,86.166,80.234,81.571,86.886,90.233,95.224,90.314,100,103.97
전국,토마토,50.523,59.646,59.921,57.473,60.035,60.715,57.004,58.503,83.279,83.474,88.992,83.065,75.01,71.371,80.391,84.12,85.254,84.459,100,94.43
전국,파,42.455,72.103,55.177,54.246,72.335,60.474,60.745,63.566,106.688,85.297,92.95,89.548,61.666,86.664,104.218,98.442,99.37,82.514,100,138.38
전국,양파,39.07,71.957,58.752,55.173,65.321,59.592,62.502,72.765,74.951,71.141,76.058,110.109,64.962,87.01,93.144,100.359,80.856,68.748,100,103.56
전국,마늘,49.718,51.211,60.793,57.63,58.303,65.743,62.116,60.526,92.053,110.371,101.556,94.223,81.346,100.26,132.496,124.046,119.034,102.269,100,129.47
전국,고사리,58.315,61.476,65.807,68.436,68.231,69.201,70.832,77.1,82.781,88.176,92.72,94.554,98.747,98.572,96.223,96.336,97.571,97.716,100,109.62
전국,생강,37.19,29.254,42.36,48.053,34.083,37.374,33.482,58.112,62.256,50.78,58.339,65.621,66.622,79.22,60.343,46.296,76.855,124.213,100,78.26
전국,(농산물)과실,60.95,58.131,72.236,77.861,71.963,80.359,69.549,72.995,82.059,93.808,103.096,99.018,91.509,87.045,85.621,98.134,100.758,96.384,100,111.25
전국,사과,63.166,50.948,73.744,92.689,75.85,83.335,72.513,71.486,80.268,96.462,106.736,108.432,96.971,96.563,83.596,89.034,94.143,92.835,100,118.45
전국,배,62.15,63.254,81.719,72.682,63.268,76.068,58.234,58.107,74.506,89.629,100.161,117.522,87.401,81.382,87.084,80.921,79.64,101.995,100,134.34
전국,복숭아,66.39,70.241,80.375,87.858,90.238,95.181,89.96,83.801,95.166,121.067,119.856,124.335,116.626,98.89,99.801,101.136,100.395,99.781,100,123.45
전국,포도,67.74,75.396,91.033,99.055,85.522,90.361,92.895,86.579,96.495,105.492,111.468,111.848,91.085,79.165,78.584,90.048,95.093,92.485,100,112.69
전국,밤,76.476,91.926,106.518,67.642,62.602,66.374,60.703,64.671,63.177,73.168,101.687,106.39,79.336,80.374,95.06,97.254,87.167,84.822,100,108.76
전국,감,60.835,57.92,69.538,85.92,65.732,86.664,68.832,76.233,75.941,88.421,99.013,86.669,85.905,73.434,71.879,84.497,96.648,95.649,100,119.44
전국,귤,60.963,45.994,61.594,77.164,60.969,78.9,48.917,67.485,65.108,76.971,98.345,78.079,81.597,72.294,77.997,138.988,116.258,106.146,100,104.02
전국,오렌지,98.235,88.163,89.016,86.298,86.794,93.935,90.455,116.062,110.988,105.114,102.102,90.873,106.562,105.858,98.154,108.372,103.655,87.377,100,100.08
전국,참외,81.343,92.593,95.266,90.025,98.413,106.47,105.262,106.304,127.727,141.31,133.602,107.442,95.96,99.82,92.33,93.335,104.852,95.711,100,112.19
전국,수박,54.592,59.145,77.39,72.507,81.552,81.274,73.728,67.812,91.449,114.335,119.505,121.156,98.673,87.358,92.302,105.449,118.786,108.397,100,121.29
전국,딸기,71.528,71.042,73.913,77.907,85.173,95.945,86.432,88.705,105.132,106.297,121.081,95.092,99.106,108.354,99.232,98.311,109.79,88.521,100,100.21
전국,바나나,60.31,58.146,56.544,56.768,57.142,56.045,61.343,76.374,69.393,67.734,68.304,84.763,86.443,89.1,100.259,96.931,94.971,96.253,100,101.41
전국,(농산물)기타농산물,37.567,41.318,47.266,46.137,46.599,48.544,47.472,50.878,57.457,76.795,98.614,84.833,78.018,80.853,80.016,83.467,101.602,100.937,100,112.99
전국,고춧가루,34.344,36.568,43.316,41.695,42.383,45.305,44.138,47.897,50.492,76.056,105.196,83.462,71.224,75.272,72.291,77.92,103.606,101.664,100,119.07
전국,참깨,50.585,56.599,69.961,65.808,67.3,67.701,73.974,84.432,84.443,87.624,89.967,91.086,90.912,92.5,92.232,92.738,96.353,99.331,100,101.39
전국,인삼,63.518,78.355,79.11,80.597,81.215,71.611,67.474,67.575,67.307,84.128,96.742,98.045,105.107,103.45,101.181,100.353,103.943,102.831,100,96.06
전국,화초,43.362,45.295,46.484,48.754,52.727,55.286,55.668,58.654,66.176,66.959,71.872,72.673,77.807,78.117,85.829,86.379,97.33,98.361,100,108.52
전국,축산물,49.144,52.422,60.28,63.566,64.35,62.506,68.719,74.827,75.624,83.428,77.219,76.532,83.792,86.86,90.68,96.57,93.22,93.184,100,112.65
전국,국산쇠고기,49.384,54.798,57.891,58.75,63.68,62.466,62.378,68.908,76.147,68.773,67.256,67.928,72.11,77.402,88.699,88.026,90.2,92.363,100,108.9
전국,수입쇠고기,51.78,57.893,64.874,69.912,69.306,65.665,67.535,67.692,69.23,77.297,76.783,77.755,86.064,89.144,91.109,93.443,94.943,98.312,100,108.13
전국,돼지고기,46.325,47.554,59.863,63.445,64.296,61.388,71.93,78.121,73.382,93.981,81.23,75.94,88.027,91.251,91.841,97.522,93.981,90.311,100,111.11
전국,닭고기,59.951,55.436,72.109,76.366,71.452,68.811,83.818,100.372,102.485,107.404,104.149,109.5,105.992,103.743,100.29,105.26,102.857,104.25,100,107.67
전국,달걀,48.5,48.493,61.555,68.949,60.18,61.921,75.471,80.774,77.218,91.348,86.193,92.254,99.785,97.172,88.886,127.685,91.82,92.068,100,141.29
전국,꿀,54.663,56.108,59.935,78.268,73.631,72.183,75.144,76.761,77.192,83.348,84.217,85.512,84.704,84.89,86.797,95.549,97.644,100.178,100,102.01
전국,수산물,50.488,51.668,53.184,53.919,54.319,54.404,57.338,64.068,71.282,77.358,79.304,80.373,81.974,82.8,85.167,90.931,93.811,93.942,100,101.44
전국,갈치,54.744,53.931,52.124,51.914,50.95,53.368,55.336,65.083,75.6,83.639,95.798,95.775,94.751,100.292,109.479,106.975,95.558,93.438,100,101.29
전국,명태,64.066,78.235,70.457,66.194,63.282,62.703,61.402,84.18,94.604,88.107,75.58,74.912,78.66,83.015,85.523,87.992,88.276,90.259,100,96.56
전국,조기,60.599,61.257,62.414,62.001,61.247,64.212,78.235,85.494,88.018,96.27,100.789,104.957,105.781,105.029,105.056,102.88,102.259,100.142,100,99.16
